name,family,tier,status,retrieved,accepted,pages,duration_ms,error,note
Job Bank: Federal government student and internship roles,government_canada,core,empty,0,0,1,3997,,HTML fallback
Job Bank: All Canadian student jobs — broad scan,government_canada,core,success,111,18,5,2981,,HTML fallback
Job Bank: Business and operations student roles,government_canada,core,success,4,4,2,5056,,HTML fallback
Job Bank: Finance and banking student roles,government_canada,core,success,4,4,2,4875,,HTML fallback
Job Bank: Accounting and tax student roles,government_canada,standard,success,4,4,2,4319,,HTML fallback
Job Bank: Legal and law student roles,government_canada,core,success,1,1,2,4539,,HTML fallback
Job Bank: Compliance and regulatory student roles,government_canada,core,empty,0,0,1,3349,,HTML fallback
Job Bank: Policy and public administration student roles,government_canada,core,empty,0,0,1,3852,,HTML fallback
Job Bank: Audit and controls student roles,government_canada,standard,empty,0,0,1,4072,,HTML fallback
Job Bank: Communications and public affairs student roles,government_canada,standard,empty,0,0,1,3311,,HTML fallback
Job Bank: Marketing and commercial student roles,government_canada,standard,success,7,7,2,4992,,HTML fallback
Job Bank: Data and business analytics student roles,government_canada,standard,empty,0,0,1,3673,,HTML fallback
Job Bank: Human resources student roles,government_canada,standard,success,2,2,2,4901,,HTML fallback
Job Bank: Procurement and contracts student roles,government_canada,standard,empty,0,0,1,3988,,HTML fallback
Job Bank: Administration and program support student roles,government_canada,standard,success,6,6,2,4151,,HTML fallback
Job Bank: Insurance and risk student roles,government_canada,standard,empty,0,0,1,4622,,HTML fallback
Job Bank: Federal government internships,government_canada,core,empty,0,0,1,3112,,HTML fallback
Job Bank: Federal government co-op roles,government_canada,core,empty,0,0,1,4026,,HTML fallback
Job Bank: Federal government legal roles for students,government_canada,standard,success,2,2,2,4032,,HTML fallback
Job Bank: Federal government policy roles for students,government_canada,standard,empty,0,0,1,3998,,HTML fallback
Job Bank: Federal government finance roles for students,government_canada,standard,empty,0,0,1,3421,,HTML fallback
Job Bank: Federal government compliance roles for students,government_canada,standard,empty,0,0,1,3307,,HTML fallback
Job Bank: Federal government communications roles for students,government_canada,standard,success,6,5,2,4460,,HTML fallback
Job Bank: Canada Summer Jobs — business,government_canada,standard,empty,0,0,1,848,,HTML fallback
Job Bank: Canada Summer Jobs — administration,government_canada,standard,empty,0,0,1,794,,HTML fallback
Job Bank: Canada Summer Jobs — finance,government_canada,standard,empty,0,0,1,806,,HTML fallback
Job Bank: Canada Summer Jobs — legal,government_canada,standard,empty,0,0,1,781,,HTML fallback
Job Bank: Canada Summer Jobs — marketing and communications,government_canada,standard,empty,0,0,1,897,,HTML fallback
GC program: Federal Student Work Experience Program (FSWEP),government_canada,core,error,0,0,0,49422,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/public-service-commission/jobs/services/recruitment/students/federal-student-work-program.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
GC program: Research Affiliate Program,government_canada,core,error,0,0,0,49413,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/public-service-commission/jobs/services/recruitment/students/research-affiliate-program.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
GC program: Post-Secondary Co-op/Internship Program,government_canada,core,error,0,0,0,49554,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/public-service-commission/jobs/services/recruitment/students/coop-internship.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
GC program: Government of Canada Youth and Student Employment Hub,government_canada,core,error,0,0,0,49455,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/services/jobs/youth.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
GC program: Student Border Services Officer — Summer 2027,government_canada,core,success,1,1,1,510,,
GC program: Parks Canada Student and Youth Employment,government_canada,standard,success,1,1,1,1016,,
GC program: CRA Student and Graduate Hiring,government_canada,standard,error,0,0,0,49364,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/revenue-agency/corporate/careers-cra/browse-job-types/student-graduate-hiring.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
GC program: NRC Student Employment Program,government_canada,standard,success,1,1,1,1347,,
GC program: CFIA Student Opportunities,government_canada,standard,success,1,1,1,427,,
GC program: Student Work Placement Program,government_canada,standard,error,0,0,0,49349,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/employment-social-development/services/student-work-placements-wage-subsidies.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
GC program: Bank of Canada Students and Recent Graduates,government_canada,standard,error,0,0,0,459,HTTPError: 404 Client Error: Not Found for url: https://www.bankofcanada.ca/careers/students-and-recent-graduates/,
GC program: House of Commons Student Employment Program,government_canada,standard,success,1,1,1,694,,
GC program: Parliamentary Guide Program — Fall-Winter 2026–2027,government_canada,core,error,0,0,0,961,RefreshError: Program page loaded but required identifying text was absent,
GC program: Senate of Canada Student Employment Program,government_canada,core,success,1,1,1,667,,
GC program: Legal Excellence Program — Law Student and Articling Recruitment,government_canada,core,success,1,1,1,416,,
GC program: BC Public Service Co-op Employment Program,government_canada,standard,error,0,0,0,1979,"ConnectionError: HTTPSConnectionPool(host='www2.gov.bc.ca', port=443): Max retries exceeded with url: /gov/content/careers-myhr/job-seekers/internship-co-op-opportunities/co-op (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))",
GC program: BC Public Service Student Employment Program,government_canada,standard,error,0,0,0,1865,"ConnectionError: HTTPSConnectionPool(host='www2.gov.bc.ca', port=443): Max retries exceeded with url: /gov/content/careers-myhr/job-seekers/internship-co-op-opportunities/student-employment-program (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))",
GC program: Alberta Public Service Student Opportunities and Internships,government_canada,standard,success,1,1,1,311,,
GC program: Quebec Public Service Student Jobs and Internships,government_canada,standard,success,1,1,1,164,,
GC program: Inshore Rescue Boat Student Program — Summer 2027,government_canada,core,error,0,0,0,49465,"ConnectionError: HTTPSConnectionPool(host='www.canada.ca', port=443): Max retries exceeded with url: /en/canadian-coast-guard/services/search-rescue/inshore-rescue-boat-service/apply-student-program-how.html (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=16)""))",
Adzuna CA: audit intern,adzuna,optional,skipped,0,0,0,0,,Set ADZUNA_APP_ID and ADZUNA_APP_KEY repository secrets
